,Patient ID,asra_safe,Scenario Data
0,AA,0,"A 50-year-old woman with a history of diabetes, atrial fibrillation, and ulcerative colitis presents for an open colectomy.  The surgical team is requesting epidural analgesia for postoperative pain control.  Her medications include metformin, acetaminophen, and 5000 Units subcutaneous heparin TID. The last dose of heparin was 3 hours before the planned procedure."
1,AB,1,"A 50-year-old woman with a history of diabetes, atrial fibrillation, and ulcerative colitis presents for an open colectomy.  The surgical team is requesting epidural analgesia for postoperative pain control.  Her medications include metformin, acetaminophen, and 5000 Units subcutaneous heparin TID. The last dose of heparin was 8 hours before the planned procedure."
2,AC,0,"A 50-year-old woman with a history of diabetes, atrial fibrillation, and ulcerative colitis presents for an open colectomy.  The surgical team is requesting epidural analgesia for postoperative pain control.  Her medications include metformin, acetaminophen, and 10,000 Units subcutaneous heparin TID. The last dose of heparin was 3 hours before the planned procedure."
3,AD,0,"A 50-year-old woman with a history of diabetes, atrial fibrillation, and ulcerative colitis presents for an open colectomy.  The surgical team is requesting epidural analgesia for postoperative pain control.  Her medications include metformin, acetaminophen, and 10,000 Units subcutaneous heparin TID. The last dose of heparin was 8 hours before the planned procedure."
4,AE,1,"A 50-year-old woman with a history of diabetes, atrial fibrillation, and ulcerative colitis presents for an open colectomy.  The surgical team is requesting epidural analgesia for postoperative pain control.  Her medications include metformin, acetaminophen, and IV heparin. The IV heparin was discontinued five hours before the planned procedure and the Anti-Xa assay was in the normal range."
5,AF,0,"A 50-year-old woman with a history of diabetes, atrial fibrillation, and ulcerative colitis presents for an open colectomy.  The surgical team is requesting epidural analgesia for postoperative pain control.  Her medications include metformin, acetaminophen, and IV heparin. The IV heparin was discontinued five hours before the planned procedure and the Anti-Xa assay was in the therapeutic range."
6,AG,0,"A 50-year-old woman with a history of diabetes, atrial fibrillation, and ulcerative colitis presents for an open colectomy.  The surgical team is requesting epidural analgesia for postoperative pain control.  Her medications include metformin, acetaminophen, and IV heparin. The IV heparin was discontinued two hours before the planned procedure and the Anti-Xa assay was in the normal range."
7,AH,0,"A 50-year-old woman with a history of diabetes, atrial fibrillation, and ulcerative colitis presents for an open colectomy.  The surgical team is requesting epidural analgesia for postoperative pain control.  Her medications include metformin, acetaminophen, and IV heparin. The IV heparin was discontinued two hours before the planned procedure and the Anti-Xa assay was in the therapeutic range."
8,AI,0,"A 50-year-old woman with a history of diabetes, atrial fibrillation, and ulcerative colitis presents for an open colectomy.  The surgical team is requesting epidural analgesia for postoperative pain control.  Her medications include metformin, acetaminophen, and prophylactic BID subcutaneous enoxaparin. The last dose of enoxaparin was 8 hours prior to the planned procedure."
9,AJ,1,"A 50-year-old woman with a history of diabetes, atrial fibrillation, and ulcerative colitis presents for an open colectomy.  The surgical team is requesting epidural analgesia for postoperative pain control.  Her medications include metformin, acetaminophen, and prophylactic BID subcutaneous enoxaparin. The last dose of enoxaparin was 14 hours prior to the planned procedure."
10,AK,0,"A 50-year-old woman with a history of diabetes, atrial fibrillation, and ulcerative colitis presents for an open colectomy.  The surgical team is requesting epidural analgesia for postoperative pain control.  Her medications include metformin, acetaminophen, and therapeutic subcutaneous enoxaparin. The last dose of enoxaparin was 20 hours prior to the planned procedure."
11,AL,1,"A 50-year-old woman with a history of diabetes, atrial fibrillation, and ulcerative colitis presents for an open colectomy.  The surgical team is requesting epidural analgesia for postoperative pain control.  Her medications include metformin, acetaminophen, and therapeutic subcutaneous enoxaparin. The last dose of enoxaparin was 26 hours prior to the planned procedure."
12,AM,0,"A 50-year-old woman with a history of diabetes, atrial fibrillation, and ulcerative colitis presents for an open colectomy.  The surgical team is requesting epidural analgesia for postoperative pain control.  Her medications include metformin, acetaminophen, and prophylactic apixaban. The last dose of apixaban was 36 hours prior to the planned procedure."
13,AN,1,"A 50-year-old woman with a history of diabetes, atrial fibrillation, and ulcerative colitis presents for an open colectomy.  The surgical team is requesting epidural analgesia for postoperative pain control.  Her medications include metformin, acetaminophen, and prophylactic apixaban. The last dose of apixaban was 84 hours prior to the planned procedure."
14,AO,0,"A 50-year-old woman with a history of diabetes, atrial fibrillation, and ulcerative colitis presents for an open colectomy.  The surgical team is requesting epidural analgesia for postoperative pain control.  Her medications include metformin, acetaminophen, and warfarin. Warfarin was held for three days, and the INR immediately prior to the planned procedure is 1.1."
15,AP,0,"A 50-year-old woman with a history of diabetes, atrial fibrillation, and ulcerative colitis presents for an open colectomy.  The surgical team is requesting epidural analgesia for postoperative pain control.  Her medications include metformin, acetaminophen, and warfarin. Warfarin was held for three days, and the INR immediately prior to the planned procedure is 1.5."
16,AQ,1,"A 50-year-old woman with a history of diabetes, atrial fibrillation, and ulcerative colitis presents for an open colectomy.  The surgical team is requesting epidural analgesia for postoperative pain control.  Her medications include metformin, acetaminophen, and warfarin. Warfarin was held for six days, and the INR immediately prior to the planned procedure is 1.1."
17,AR,0,"A 50-year-old woman with a history of diabetes, atrial fibrillation, and ulcerative colitis presents for an open colectomy.  The surgical team is requesting epidural analgesia for postoperative pain control.  Her medications include metformin, acetaminophen, and warfarin. Warfarin was held for six days, and the INR immediately prior to the planned procedure is 1.5."
18,AS,1,"A 50-year-old woman with a history of diabetes, atrial fibrillation, and ulcerative colitis presents for an open colectomy.  The surgical team is requesting epidural analgesia for postoperative pain control.  Her medications include metformin, acetaminophen, and aspirin. The last dose of aspirin was 1 hour prior to the planned procedure."
19,AT,1,"A 50-year-old woman with a history of diabetes, atrial fibrillation, and ulcerative colitis presents for an open colectomy.  The surgical team is requesting epidural analgesia for postoperative pain control.  Her medications include metformin, acetaminophen, and aspirin. The last dose of aspirin was 24 hours prior to the planned procedure."
20,AU,0,"A 50-year-old woman with a history of diabetes, atrial fibrillation, and ulcerative colitis presents for an open colectomy.  The surgical team is requesting epidural analgesia for postoperative pain control.  Her medications include metformin, acetaminophen, and dabigatran. The last dose of dabigatran was 48 hours prior to the planned procedure."
21,AV,1,"A 50-year-old woman with a history of diabetes, atrial fibrillation, and ulcerative colitis presents for an open colectomy.  The surgical team is requesting epidural analgesia for postoperative pain control.  Her medications include metformin, acetaminophen, and dabigatran. The last dose of dabigatran was 120 hours prior to the planned procedure."
22,AW,0,"A 50-year-old woman with a history of diabetes, atrial fibrillation, and ulcerative colitis presents for an open colectomy.  The surgical team is requesting epidural analgesia for postoperative pain control.  Her medications include metformin, acetaminophen, and rivaroxaban. The last dose of rivaroxaban was 48 hours prior to the planned procedure."
23,AX,1,"A 50-year-old woman with a history of diabetes, atrial fibrillation, and ulcerative colitis presents for an open colectomy.  The surgical team is requesting epidural analgesia for postoperative pain control.  Her medications include metformin, acetaminophen, and rivaroxaban. The last dose of rivaroxaban was 84 hours prior to the planned procedure."
24,AY,0,"A 50-year-old woman with a history of diabetes, atrial fibrillation, and ulcerative colitis presents for an open colectomy.  The surgical team is requesting epidural analgesia for postoperative pain control.  Her medications include metformin, acetaminophen, and clopidogrel. The last dose of clopidogrel was 4 days prior to the planned procedure."
25,AZ,1,"A 50-year-old woman with a history of diabetes, atrial fibrillation, and ulcerative colitis presents for an open colectomy.  The surgical team is requesting epidural analgesia for postoperative pain control.  Her medications include metformin, acetaminophen, and clopidogrel. The last dose of clopidogrel was 8 days prior to the planned procedure."
26,BA,0,"A 95-year-old woman with a history of dementia, osteoporosis, coronary artery disease, and mild renal disease presents following a fall from ground height and subsequent hip fracture. The surgical team is requesting spinal anesthesia as the primary anesthetic for the surgical procedure. Her medications include donepezil, aspirin, pravastatin, and 5000 Units subcutaneous heparin TID. The last dose of heparin was 3 hours before the planned procedure."
27,BB,1,"A 95-year-old woman with a history of dementia, osteoporosis, coronary artery disease, and mild renal disease presents following a fall from ground height and subsequent hip fracture. The surgical team is requesting spinal anesthesia as the primary anesthetic for the surgical procedure. Her medications include donepezil, aspirin, pravastatin, and 5000 Units subcutaneous heparin TID. The last dose of heparin was 8 hours before the planned procedure."
28,BC,0,"A 95-year-old woman with a history of dementia, osteoporosis, coronary artery disease, and mild renal disease presents following a fall from ground height and subsequent hip fracture. The surgical team is requesting spinal anesthesia as the primary anesthetic for the surgical procedure. Her medications include donepezil, aspirin, pravastatin, and 10,000 Units subcutaneous heparin TID. The last dose of heparin was 3 hours before the planned procedure."
29,BD,0,"A 95-year-old woman with a history of dementia, osteoporosis, coronary artery disease, and mild renal disease presents following a fall from ground height and subsequent hip fracture. The surgical team is requesting spinal anesthesia as the primary anesthetic for the surgical procedure. Her medications include donepezil, aspirin, pravastatin, and 10,000 Units subcutaneous heparin TID. The last dose of heparin was 8 hours before the planned procedure."
30,BE,1,"A 95-year-old woman with a history of dementia, osteoporosis, coronary artery disease, and mild renal disease presents following a fall from ground height and subsequent hip fracture. The surgical team is requesting spinal anesthesia as the primary anesthetic for the surgical procedure. Her medications include donepezil, aspirin, pravastatin, and IV heparin. The IV heparin was discontinued five hours before the planned procedure and the Anti-Xa assay was in the normal range."
31,BF,0,"A 95-year-old woman with a history of dementia, osteoporosis, coronary artery disease, and mild renal disease presents following a fall from ground height and subsequent hip fracture. The surgical team is requesting spinal anesthesia as the primary anesthetic for the surgical procedure. Her medications include donepezil, aspirin, pravastatin, and IV heparin. The IV heparin was discontinued five hours before the planned procedure and the Anti-Xa assay was in the therapeutic range."
32,BG,0,"A 95-year-old woman with a history of dementia, osteoporosis, coronary artery disease, and mild renal disease presents following a fall from ground height and subsequent hip fracture. The surgical team is requesting spinal anesthesia as the primary anesthetic for the surgical procedure. Her medications include donepezil, aspirin, pravastatin, and IV heparin. The IV heparin was discontinued two hours before the planned procedure and the Anti-Xa assay was in the normal range."
33,BH,0,"A 95-year-old woman with a history of dementia, osteoporosis, coronary artery disease, and mild renal disease presents following a fall from ground height and subsequent hip fracture. The surgical team is requesting spinal anesthesia as the primary anesthetic for the surgical procedure. Her medications include donepezil, aspirin, pravastatin, and IV heparin. The IV heparin was discontinued two hours before the planned procedure and the Anti-Xa assay was in the therapeutic range."
34,BI,0,"A 95-year-old woman with a history of dementia, osteoporosis, coronary artery disease, and mild renal disease presents following a fall from ground height and subsequent hip fracture. The surgical team is requesting spinal anesthesia as the primary anesthetic for the surgical procedure. Her medications include donepezil, aspirin, pravastatin, and prophylactic BID subcutaneous enoxaparin. The last dose of enoxaparin was 8 hours prior to the planned procedure."
35,BJ,1,"A 95-year-old woman with a history of dementia, osteoporosis, coronary artery disease, and mild renal disease presents following a fall from ground height and subsequent hip fracture. The surgical team is requesting spinal anesthesia as the primary anesthetic for the surgical procedure. Her medications include donepezil, aspirin, pravastatin, and prophylactic BID subcutaneous enoxaparin. The last dose of enoxaparin was 14 hours prior to the planned procedure."
36,BK,0,"A 95-year-old woman with a history of dementia, osteoporosis, coronary artery disease, and mild renal disease presents following a fall from ground height and subsequent hip fracture. The surgical team is requesting spinal anesthesia as the primary anesthetic for the surgical procedure. Her medications include donepezil, aspirin, pravastatin, and therapeutic subcutaneous enoxaparin. The last dose of enoxaparin was 20 hours prior to the planned procedure."
37,BL,1,"A 95-year-old woman with a history of dementia, osteoporosis, coronary artery disease, and mild renal disease presents following a fall from ground height and subsequent hip fracture. The surgical team is requesting spinal anesthesia as the primary anesthetic for the surgical procedure. Her medications include donepezil, aspirin, pravastatin, and therapeutic subcutaneous enoxaparin. The last dose of enoxaparin was 26 hours prior to the planned procedure."
38,BM,0,"A 95-year-old woman with a history of dementia, osteoporosis, coronary artery disease, and mild renal disease presents following a fall from ground height and subsequent hip fracture. The surgical team is requesting spinal anesthesia as the primary anesthetic for the surgical procedure. Her medications include donepezil, aspirin, pravastatin, and prophylactic apixaban. The last dose of apixaban was 36 hours prior to the planned procedure."
39,BN,1,"A 95-year-old woman with a history of dementia, osteoporosis, coronary artery disease, and mild renal disease presents following a fall from ground height and subsequent hip fracture. The surgical team is requesting spinal anesthesia as the primary anesthetic for the surgical procedure. Her medications include donepezil, aspirin, pravastatin, and prophylactic apixaban. The last dose of apixaban was 84 hours prior to the planned procedure."
40,BO,0,"A 95-year-old woman with a history of dementia, osteoporosis, coronary artery disease, and mild renal disease presents following a fall from ground height and subsequent hip fracture. The surgical team is requesting spinal anesthesia as the primary anesthetic for the surgical procedure. Her medications include donepezil, aspirin, pravastatin, and warfarin. Warfarin was held for three days, and the INR immediately prior to the planned procedure is 1.1."
41,BP,0,"A 95-year-old woman with a history of dementia, osteoporosis, coronary artery disease, and mild renal disease presents following a fall from ground height and subsequent hip fracture. The surgical team is requesting spinal anesthesia as the primary anesthetic for the surgical procedure. Her medications include donepezil, aspirin, pravastatin, and warfarin. Warfarin was held for three days, and the INR immediately prior to the planned procedure is 1.5."
42,BQ,1,"A 95-year-old woman with a history of dementia, osteoporosis, coronary artery disease, and mild renal disease presents following a fall from ground height and subsequent hip fracture. The surgical team is requesting spinal anesthesia as the primary anesthetic for the surgical procedure. Her medications include donepezil, aspirin, pravastatin, and warfarin. Warfarin was held for six days, and the INR immediately prior to the planned procedure is 1.1."
43,BR,0,"A 95-year-old woman with a history of dementia, osteoporosis, coronary artery disease, and mild renal disease presents following a fall from ground height and subsequent hip fracture. The surgical team is requesting spinal anesthesia as the primary anesthetic for the surgical procedure. Her medications include donepezil, aspirin, pravastatin, and warfarin. Warfarin was held for six days, and the INR immediately prior to the planned procedure is 1.5."
44,BS,1,"A 95-year-old woman with a history of dementia, osteoporosis, coronary artery disease, and mild renal disease presents following a fall from ground height and subsequent hip fracture. The surgical team is requesting spinal anesthesia as the primary anesthetic for the surgical procedure. Her medications include donepezil, aspirin, pravastatin, and aspirin. The last dose of aspirin was 1 hour prior to the planned procedure."
45,BT,1,"A 95-year-old woman with a history of dementia, osteoporosis, coronary artery disease, and mild renal disease presents following a fall from ground height and subsequent hip fracture. The surgical team is requesting spinal anesthesia as the primary anesthetic for the surgical procedure. Her medications include donepezil, aspirin, pravastatin, and aspirin. The last dose of aspirin was 24 hours prior to the planned procedure."
46,BU,0,"A 95-year-old woman with a history of dementia, osteoporosis, coronary artery disease, and mild renal disease presents following a fall from ground height and subsequent hip fracture. The surgical team is requesting spinal anesthesia as the primary anesthetic for the surgical procedure. Her medications include donepezil, aspirin, pravastatin, and dabigatran. The last dose of dabigatran was 48 hours prior to the planned procedure."
47,BV,1,"A 95-year-old woman with a history of dementia, osteoporosis, coronary artery disease, and mild renal disease presents following a fall from ground height and subsequent hip fracture. The surgical team is requesting spinal anesthesia as the primary anesthetic for the surgical procedure. Her medications include donepezil, aspirin, pravastatin, and dabigatran. The last dose of dabigatran was 120 hours prior to the planned procedure."
48,BW,0,"A 95-year-old woman with a history of dementia, osteoporosis, coronary artery disease, and mild renal disease presents following a fall from ground height and subsequent hip fracture. The surgical team is requesting spinal anesthesia as the primary anesthetic for the surgical procedure. Her medications include donepezil, aspirin, pravastatin, and rivaroxaban. The last dose of rivaroxaban was 48 hours prior to the planned procedure."
49,BX,1,"A 95-year-old woman with a history of dementia, osteoporosis, coronary artery disease, and mild renal disease presents following a fall from ground height and subsequent hip fracture. The surgical team is requesting spinal anesthesia as the primary anesthetic for the surgical procedure. Her medications include donepezil, aspirin, pravastatin, and rivaroxaban. The last dose of rivaroxaban was 84 hours prior to the planned procedure."
50,BY,0,"A 95-year-old woman with a history of dementia, osteoporosis, coronary artery disease, and mild renal disease presents following a fall from ground height and subsequent hip fracture. The surgical team is requesting spinal anesthesia as the primary anesthetic for the surgical procedure. Her medications include donepezil, aspirin, pravastatin, and clopidogrel. The last dose of clopidogrel was 4 days prior to the planned procedure."
51,BZ,1,"A 95-year-old woman with a history of dementia, osteoporosis, coronary artery disease, and mild renal disease presents following a fall from ground height and subsequent hip fracture. The surgical team is requesting spinal anesthesia as the primary anesthetic for the surgical procedure. Her medications include donepezil, aspirin, pravastatin, and clopidogrel. The last dose of clopidogrel was 8 days prior to the planned procedure."
52,CA,0,"A 48-year-old man with a history of diabetes, hepatocarcinoma, and hepatitis C presents for an open hepatectomy. The surgical team is requesting epidural analgesia for postoperative pain control. His medications include aspirin, gingko, ibuprofen, and 5000 Units subcutaneous heparin TID. The last dose of heparin was 3 hours before the planned procedure."
53,CB,1,"A 48-year-old man with a history of diabetes, hepatocarcinoma, and hepatitis C presents for an open hepatectomy. The surgical team is requesting epidural analgesia for postoperative pain control. His medications include aspirin, gingko, ibuprofen, and 5000 Units subcutaneous heparin TID. The last dose of heparin was 8 hours before the planned procedure."
54,CC,0,"A 48-year-old man with a history of diabetes, hepatocarcinoma, and hepatitis C presents for an open hepatectomy. The surgical team is requesting epidural analgesia for postoperative pain control. His medications include aspirin, gingko, ibuprofen, and 10,000 Units subcutaneous heparin TID. The last dose of heparin was 3 hours before the planned procedure."
55,CD,0,"A 48-year-old man with a history of diabetes, hepatocarcinoma, and hepatitis C presents for an open hepatectomy. The surgical team is requesting epidural analgesia for postoperative pain control. His medications include aspirin, gingko, ibuprofen, and 10,000 Units subcutaneous heparin TID. The last dose of heparin was 8 hours before the planned procedure."
56,CE,1,"A 48-year-old man with a history of diabetes, hepatocarcinoma, and hepatitis C presents for an open hepatectomy. The surgical team is requesting epidural analgesia for postoperative pain control. His medications include aspirin, gingko, ibuprofen, and IV heparin. The IV heparin was discontinued five hours before the planned procedure and the Anti-Xa assay was in the normal range."
57,CF,0,"A 48-year-old man with a history of diabetes, hepatocarcinoma, and hepatitis C presents for an open hepatectomy. The surgical team is requesting epidural analgesia for postoperative pain control. His medications include aspirin, gingko, ibuprofen, and IV heparin. The IV heparin was discontinued five hours before the planned procedure and the Anti-Xa assay was in the therapeutic range."
58,CG,0,"A 48-year-old man with a history of diabetes, hepatocarcinoma, and hepatitis C presents for an open hepatectomy. The surgical team is requesting epidural analgesia for postoperative pain control. His medications include aspirin, gingko, ibuprofen, and IV heparin. The IV heparin was discontinued two hours before the planned procedure and the Anti-Xa assay was in the normal range."
59,CH,0,"A 48-year-old man with a history of diabetes, hepatocarcinoma, and hepatitis C presents for an open hepatectomy. The surgical team is requesting epidural analgesia for postoperative pain control. His medications include aspirin, gingko, ibuprofen, and IV heparin. The IV heparin was discontinued two hours before the planned procedure and the Anti-Xa assay was in the therapeutic range."
60,CI,0,"A 48-year-old man with a history of diabetes, hepatocarcinoma, and hepatitis C presents for an open hepatectomy. The surgical team is requesting epidural analgesia for postoperative pain control. His medications include aspirin, gingko, ibuprofen, and prophylactic BID subcutaneous enoxaparin. The last dose of enoxaparin was 8 hours prior to the planned procedure."
61,CJ,1,"A 48-year-old man with a history of diabetes, hepatocarcinoma, and hepatitis C presents for an open hepatectomy. The surgical team is requesting epidural analgesia for postoperative pain control. His medications include aspirin, gingko, ibuprofen, and prophylactic BID subcutaneous enoxaparin. The last dose of enoxaparin was 14 hours prior to the planned procedure."
62,CK,0,"A 48-year-old man with a history of diabetes, hepatocarcinoma, and hepatitis C presents for an open hepatectomy. The surgical team is requesting epidural analgesia for postoperative pain control. His medications include aspirin, gingko, ibuprofen, and therapeutic subcutaneous enoxaparin. The last dose of enoxaparin was 20 hours prior to the planned procedure."
63,CL,1,"A 48-year-old man with a history of diabetes, hepatocarcinoma, and hepatitis C presents for an open hepatectomy. The surgical team is requesting epidural analgesia for postoperative pain control. His medications include aspirin, gingko, ibuprofen, and therapeutic subcutaneous enoxaparin. The last dose of enoxaparin was 26 hours prior to the planned procedure."
64,CM,0,"A 48-year-old man with a history of diabetes, hepatocarcinoma, and hepatitis C presents for an open hepatectomy. The surgical team is requesting epidural analgesia for postoperative pain control. His medications include aspirin, gingko, ibuprofen, and prophylactic apixaban. The last dose of apixaban was 36 hours prior to the planned procedure."
65,CN,1,"A 48-year-old man with a history of diabetes, hepatocarcinoma, and hepatitis C presents for an open hepatectomy. The surgical team is requesting epidural analgesia for postoperative pain control. His medications include aspirin, gingko, ibuprofen, and prophylactic apixaban. The last dose of apixaban was 84 hours prior to the planned procedure."
66,CO,0,"A 48-year-old man with a history of diabetes, hepatocarcinoma, and hepatitis C presents for an open hepatectomy. The surgical team is requesting epidural analgesia for postoperative pain control. His medications include aspirin, gingko, ibuprofen, and warfarin. Warfarin was held for three days, and the INR immediately prior to the planned procedure is 1.1."
67,CP,0,"A 48-year-old man with a history of diabetes, hepatocarcinoma, and hepatitis C presents for an open hepatectomy. The surgical team is requesting epidural analgesia for postoperative pain control. His medications include aspirin, gingko, ibuprofen, and warfarin. Warfarin was held for three days, and the INR immediately prior to the planned procedure is 1.5."
68,CQ,1,"A 48-year-old man with a history of diabetes, hepatocarcinoma, and hepatitis C presents for an open hepatectomy. The surgical team is requesting epidural analgesia for postoperative pain control. His medications include aspirin, gingko, ibuprofen, and warfarin. Warfarin was held for six days, and the INR immediately prior to the planned procedure is 1.1."
69,CR,0,"A 48-year-old man with a history of diabetes, hepatocarcinoma, and hepatitis C presents for an open hepatectomy. The surgical team is requesting epidural analgesia for postoperative pain control. His medications include aspirin, gingko, ibuprofen, and warfarin. Warfarin was held for six days, and the INR immediately prior to the planned procedure is 1.5."
70,CS,1,"A 48-year-old man with a history of diabetes, hepatocarcinoma, and hepatitis C presents for an open hepatectomy. The surgical team is requesting epidural analgesia for postoperative pain control. His medications include aspirin, gingko, ibuprofen, and aspirin. The last dose of aspirin was 1 hour prior to the planned procedure."
71,CT,1,"A 48-year-old man with a history of diabetes, hepatocarcinoma, and hepatitis C presents for an open hepatectomy. The surgical team is requesting epidural analgesia for postoperative pain control. His medications include aspirin, gingko, ibuprofen, and aspirin. The last dose of aspirin was 24 hours prior to the planned procedure."
72,CU,0,"A 48-year-old man with a history of diabetes, hepatocarcinoma, and hepatitis C presents for an open hepatectomy. The surgical team is requesting epidural analgesia for postoperative pain control. His medications include aspirin, gingko, ibuprofen, and dabigatran. The last dose of dabigatran was 48 hours prior to the planned procedure."
73,CV,1,"A 48-year-old man with a history of diabetes, hepatocarcinoma, and hepatitis C presents for an open hepatectomy. The surgical team is requesting epidural analgesia for postoperative pain control. His medications include aspirin, gingko, ibuprofen, and dabigatran. The last dose of dabigatran was 120 hours prior to the planned procedure."
74,CW,0,"A 48-year-old man with a history of diabetes, hepatocarcinoma, and hepatitis C presents for an open hepatectomy. The surgical team is requesting epidural analgesia for postoperative pain control. His medications include aspirin, gingko, ibuprofen, and rivaroxaban. The last dose of rivaroxaban was 48 hours prior to the planned procedure."
75,CX,1,"A 48-year-old man with a history of diabetes, hepatocarcinoma, and hepatitis C presents for an open hepatectomy. The surgical team is requesting epidural analgesia for postoperative pain control. His medications include aspirin, gingko, ibuprofen, and rivaroxaban. The last dose of rivaroxaban was 84 hours prior to the planned procedure."
76,CY,0,"A 48-year-old man with a history of diabetes, hepatocarcinoma, and hepatitis C presents for an open hepatectomy. The surgical team is requesting epidural analgesia for postoperative pain control. His medications include aspirin, gingko, ibuprofen, and clopidogrel. The last dose of clopidogrel was 4 days prior to the planned procedure."
77,CZ,1,"A 48-year-old man with a history of diabetes, hepatocarcinoma, and hepatitis C presents for an open hepatectomy. The surgical team is requesting epidural analgesia for postoperative pain control. His medications include aspirin, gingko, ibuprofen, and clopidogrel. The last dose of clopidogrel was 8 days prior to the planned procedure."
78,DA,0,"A 23-year-old man presents with multiple rib fractures. The team caring for the patient is requesting epidural analgesia for pain control in the setting of multiple rib fractures. His medications include acetaminophen, gabapentin, oxycodone, and 5000 Units subcutaneous heparin TID. The last dose of heparin was 3 hours before the planned procedure."
79,DB,1,"A 23-year-old man presents with multiple rib fractures. The team caring for the patient is requesting epidural analgesia for pain control in the setting of multiple rib fractures. His medications include acetaminophen, gabapentin, oxycodone, and 5000 Units subcutaneous heparin TID. The last dose of heparin was 8 hours before the planned procedure."
80,DC,0,"A 23-year-old man presents with multiple rib fractures. The team caring for the patient is requesting epidural analgesia for pain control in the setting of multiple rib fractures. His medications include acetaminophen, gabapentin, oxycodone, and 10,000 Units subcutaneous heparin TID. The last dose of heparin was 3 hours before the planned procedure."
81,DD,0,"A 23-year-old man presents with multiple rib fractures. The team caring for the patient is requesting epidural analgesia for pain control in the setting of multiple rib fractures. His medications include acetaminophen, gabapentin, oxycodone, and 10,000 Units subcutaneous heparin TID. The last dose of heparin was 8 hours before the planned procedure."
82,DE,1,"A 23-year-old man presents with multiple rib fractures. The team caring for the patient is requesting epidural analgesia for pain control in the setting of multiple rib fractures. His medications include acetaminophen, gabapentin, oxycodone, and IV heparin. The IV heparin was discontinued five hours before the planned procedure and the Anti-Xa assay was in the normal range."
